ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33
0,"Asymmetric supercapacitor with high energy density has been developed successfully using graphene/MnO2 composite as positive electrode and activated carbon nanofibers (ACN) as negative electrode in a neutral aqueous Na2SO4 electrolyte. Due to the high capacitances and excellent rate performances of graphene/MnO2 and ACN, as well as the synergistic effects of the two electrodes, such asymmetric cell exhibits superior electrochemical performances. An optimized asymmetric supercapacitor can be cycled reversibly in the voltage range of 0-1.8 V, and exhibits maximum energy density of 51.1 Wh kg(-1), which is much higher than that of MnO2//DWNT cell (29.1 Wh kg(-1)). Additionally, graphene/MnO2//ACN asymmetric supercapacitor exhibits excellent cycling durability, with 97% specific capacitance retained even after 1000 cycles. These encouraging results show great potential in developing energy storage devices with high energy and power densities for practical applications.",no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,happy,happy,no,yes,yes,yes,happy
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"The authors describe the development and testing of a semiempirical free energy force field for use in AutoDock4 and similar grid-based docking methods. The force field is based on a comprehensive thermodynamic model that allows incorporation of intramolecular energies into the predicted free energy of binding. It also incorporates a charge-based method for evaluation of desolvation designed to use a typical set of atom types. The method has been calibrated on a set of 188 diverse protein-ligand complexes of known structure and binding energy, and tested on a set of 100 complexes of ligands with retroviral proteases. The force field shows improvement in redocking simulations over the previous AutoDock3 force field. (C) 2007 Wiley Periodicals, Inc.",no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,yes,yes
3,"Organolead halide perovskites currently are the new front-runners as light absorbers in hybrid solar cells, as they combine efficiencies passing already 20% with deposition temperatures below 100 degrees C and cheap solution-based fabrication routes. Long-term stability remains a major obstacle for application on an industrial scale. Here, it is demonstrated that significant decomposition effects already occur during annealing of a methylammonium lead triiode perovskite at 85 degrees C even in inert atmosphere thus violating international standards. The observed behavior supports the view of currently used perovskite materials as soft matter systems with low formation energies, thus representing a major bottleneck for their application, especially in countries with high average temperatures. This result can trigger a broader search for new perovskite families with improved thermal stability.",yes,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes
4,"Si-based Li-ion battery anodes have recently received great attention, as they offer specific capacity an order of magnitude beyond that of conventional graphite. The applications of this transformative technology require synthesis routes capable of producing safe and easy-to-handle anode particles with low volume changes and stable performance during battery operation. Herein, we report a large-scale hierarchical bottom-up assembly route for the formation of Si on the nanoscale-containing rigid and robust spheres with irregular channels for rapid access of Li ions into the particle bulk. Large Si volume changes on Li insertion and extraction are accommodated by the particle's internal porosity. Reversible capacities over five times higher than that of the state-of-the-art anodes (1,950 mAh g(-1)) and stable performance are attained. The synthesis process is simple, low-cost, safe and broadly applicable, providing new avenues for the rational engineering of electrode materials with enhanced conductivity and power.",yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
5,"A novel MS/MS-based analysis strategy using isotopomer labels, referred to as ""tandem mass tags"" (TMTs), for the accurate quantification of peptides and proteins is described. The new tags are designed to ensure that identical peptides labeled with different TMTs exactly comigrate in all separations. The tags require novel methods of quantification analysis using tandem mass spectrometry. The new tags and analysis methods allow peptides from different samples to be identified by their relative abundance with greater ease and accuracy than other methods. The new TMTs permit simultaneous determination of both the identity and relative abundances of peptide pairs using a collision induced dissociation (CID)-based analysis method. Relative abundance measurements made in the MS/MS mode using the new tags are accurate and sensitive. Compared to MS-mode measurements, a very high signal-to-noise ratio is achieved with MS/MS based detection. The new tags should be applicable to a wide variety of peptide isolation methods.",no,no,no,no,no,no,no,happy,happy,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,happy,happy,no,no,yes,yes,no
6,"We demonstrate that, via controlled anion exchange reactions using a range of different halide precursors, we can finely tune the chemical composition and the optical properties of presynthesized colloidal cesium lead halide perovskite nanocrystals (NCs), from green emitting CsPbBr3 to bright emitters in any other region of the visible spectrum, and back, by displacement of Cl- or I- ions and reinsertion of Br- ions. This approach gives access to perovskite semiconductor NCs with both structural and optical qualities comparable to those of directly synthesized NCs. We also show that anion exchange is a dynamic process that takes place in solution between NCs. Therefore, by mixing solutions containing perovskite NCs emitting in different spectral ranges (due to different halide compositions) their mutual fast exchange dynamics leads to homogenization in their composition, resulting in NCs emitting in a narrow spectral region that is intermediate between those of the parent nanoparticles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"A facile synthetic strategy for nitrogen-deficient graphitic carbon nitride (g-C3Nx) is established, involving a simple alkali-assisted thermal polymerization of urea, melamine, or thiourea. In situ introduced nitrogen vacancies significantly red-shift the absorption edge of g-C3Nx, with the defect concentration depending on the alkali to nitrogen precursor ratio. The g-C3Nx products show superior visible-light photocatalytic performance compared to pristine g-C3N4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"This article surveys recent developments in the rational synthesis of single-crystalline zinc oxide nanowires and their unique optical properties. The growth of ZnO nanowires was carried out in a simple chemical vapor transport and condensation (CVM system. Based on our fundamental understanding of the vapor-liquid-solid (VLS) nanowire growth mechanism, different levels of growth controls (including positional, orientational, diameter, and density control) have been achieved. Power-dependent emission has been examined and lasing action was observed in these ZnO nanowires when the excitation intensity exceeds a threshold (similar to40 kW cm(-2)). These short-wavelength nanolasers operate at room temperature and the areal density of these nanolasers on substrate readily reaches 1 X 10(10) cm(-2). The observation of lasing, fabricated mirrors indicates these single-crystalline, well-facetted nanoaction in these nanowire arrays without any wires can function as self-contained optical resonance cavities. This argument is further supported by our recent near-field scanning optical microscopy (NSOM) studies on single nanowires.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"An improved Hummers method without using NaNO3 can produce graphene oxide nearly the same to that prepared by conventional Hummers method. This modification does not decrease the yield of product, eliminating the evolution of NO2/N2O4 toxic gasses and simplifying the disposal of waste water because of the inexistence of Na+ and NO3- ions. For the first time, we also developed a prototype method of post-treating the waste water collected from the systems of synthesizing and purifying graphene oxide. The content of Mn2+ ions in the purified waste water was measured to be lower than the guideline value for drinking water. (C) 2013 Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
