ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33
0,"Noncoding RNAs were not only classified based on their structural variation but also on the basis of their regulatory roles in diverse cellular pathways. During the last two decades, several studies on noncoding RNAs have been reported and now it is well known that they regulate expression of genes involved in diverse biological functions. Therefore, in gene regulatory network, noncoding RNAs are considered as the important top-tier regulators. In Solanaceae plants, several studies on noncoding RNAs especially small noncoding RNAs are reported mostly in Tomato. However, in Capsicum (pepper), one of the most important vegetable crops, belonging to the same family Solanaceae as of Tomato, the identification and characterization of noncoding RNAs are still limited. Furthermore, recently the identification and characterization of long noncoding RNAs are being reported in plants including Solanaceae plants. Therefore, in this chapter, an attempt is being made to highlight the identification and characterization of noncoding RNAs in Capsicum species.",yes,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes
1,"Lectins are a divergent group of carbohydrate-binding proteins of non-immune origin that are widely spread in all kingdoms of life. Several postulations have been put forward to describe the physiological obscure functions of plant lectins. Functions such as storage proteins, defensive role against predators or as endogenous enzyme stabilizer were suggested. This work was undertaken to enable further investigation on the possible role of plant lectins. Dry good quality seeds of Erythrina Abyssinica (ErA) and Abrus precatorius (AbP) were germinated under humid conditions for 21 days. Two-gram seeds were harvested and proteins were extracted every other day. Protein content and lectin activity were monitored. The two seeds under study showed that their protein content was gradually degraded. The three isoforms of lectin, obtained by AmS fractionation, also exhibited a gradual decline in their activities, however, they did not follow similar degradation patterns and some of them prevailed active during the entire germination course. These results support the theories that emphasize a physiological, yet to be disclosed significance for legume lectin other than merely being as a storage protein, and may, therefore, represent a mosaic piece in our race for revealing the exact physiology of plant lectin.",yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"It is an important part of many rodent studies to assess reproductive capacity in the female. Animal models that involve exposure to organic compounds, teratogenicity studies, or exposure to suboptimal environments during early development often result in deficits in female fertility. In addition to longitudinal physiology assays of fecundity, there are several molecular biology approaches to assessing female reproductive potential that can be performed to provide a ""snapshot"" of fertility potential at a single time-point. Here we describe some of the most useful ways to assess female reproductive capacity in rodents.",yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes
4,"This article presents thermodynamic calculations of the interaction of zinc and iron chlorides with phosphoric acid. The influence of temperature and duration of the interaction on the degree of decomposition of metal chlorides is also determined. It is established that with increasing the temperature and the duration of interaction, the degree of conversion of zinc and iron chlorides to metal phosphates increases and the residual chlorine content in the product simultaneously decreases. The quality control of the obtained products was carried out using physical, chemical and crystal-optical methods of analysis.",no,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes
5,"The article analyzed current legislation and judicial practice on the disputes of a bona fide purchaser right protection when he buys real estate objects, in particular, the practice of RF Constitutional Court, the Supreme Court of Russian Federation and the European Court of Human Rights on the application of vindication laws due the fact that the domestic practice of the relevant standard application does not protect the rights of the bona fide purchaser of residential real estate object adequately. The study revealed the following problems of business participant right protection: 1) the interpretation problem of real estate bona fide purchaser concept by the courts; 2) the application problem of the clause 1, Article 302 of Russian Federation Civil Code [1] (hereinafter - RF CC) during the consideration of vindication cases on state and municipal authority claims; 3) the problems of the currently valid Federal Law article 31.1 ""On State Registration of Real Estate Rights and Real Estate Transactions"" application by the courts [2] and the Article 68 of the Federal Law ""On Real Estate State Registration"" [3], which will enter into force on January 1, 2020; 4) the problem of compensation payment to bona fide purchasers whose property was taken under the claims of public law entities and who have not received an appropriate compensation from the state yet.",yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,
6,"Acrylonitrile (AN) was copolymerized with itaconic acid metal complexes [Co(II),Ni(II),Cu(II)] aiming to synthetize self-colored acrylonitrile fiber. The copolymerization occurred in water at 60 degrees C using sodium bisulfite and potassium persulfate as redox initiators. The resulting copolymers are colored and exhibited high thermal stability as shown from their TGA curves. The investigated copolymers exhibited comparable thermal stability as that of PAN. The AN/itaconic acid Co(NO3)(2) copolymer was considerably the most thermal stable copolymer while that of Ni(II) copolymer was the less stable one. Cu(II) copolymer showed an intermediate stability. The data also revealed that the maximum degradation occurred after 300 degrees C (the cyclization temperature). Thus, neither the copolymerization nor the complexation affected the nitrile oligomerization reaction. The effect of adding ammonium hydroxide solution to acrylonitrile-itaconic acid copper(II) complex copolymer on the thermal stability of copolymer was also studied.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"This research has proposed formulas, in which the atomic number and neutron numbers to any element in the periodic table are determined according to element position in the periodic table. These formulas have been arranged to fit with periodic system of elements in the IUPAC's Periodic Table. The main outcome is to introduce layout regularity, which may reflect the regularity of the periodic law more faithfully. In this research, atomic number to any element in the periodic table is predictably calculated by the group and period numbers which were displayed into 7 Periods horizontally, and 18 Groups vertically, determining and dispensing altogether the elements positions at the periodic system. Application of these proposed formulas showed linearity from has good agreement with these separated elements of Lanthanum in the f-block elements (Lanthanides and Actinides), which were in no interruptions in the sequence of increasing atomic numbers. In addition, the relationship of the f-block to the other blocks of the periodic table also becomes easier to see. In addition, the formulas are extensible to expanding future table and allowed determining the atomic number of the future elements starting from 119 till the element of 136, at the main body of the periodic table, and can be used as a simple and alternative method for determine the numbers of atomic and neutron in the IUPAC's Periodic Table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"A novel breakdown (BD) mechanism of shallow impurity (SI) under the electric field at low temperatures is suggested for n-GaAs samples with the donor concentrations 1014cm-3ND1016cm-3 and the compensation degree 0.3K=NA/ND0.8 with acceptors of concentration NA in the external magnetic fields up to H=6.5T, oriented parallel or perpendicular to the external electric field. Diagnosis of the BD mechanism was performed by SI Zeeman (mainly from the ground state 1s to 2p+1 and other excitation states) and cyclotron resonance photoelectric spectroscopy (PES) methods in the wide interval of the electric field including the BD region too. The obtained results reveal that the BD electric field epsilon BD does not correlate with K and the carrier's mobility of the samples, which contradict to the well-known impact ionization mechanism (IIM). A serious discrepancy with IIM is that epsilon BD does not almost depend on the magnetic field up to H=6.5T when epsilon though the SI ionization energy increases two times. The cyclotron resonance (CR) measurements show that the line width does not depend on the electric field for epsilon<epsilon BD, indicating the lack of free-carrier (FC) heating in contradiction with IIM. A considerable decrease of the free carriers' capture cross section (CCS) area by ionized SI centers with a subsequent increase in the FC concentration n is observed by means of PES investigation of the 1s?2p+1 and CR lines in the electric fields epsilon epsilon BD and at different magnetic fields, applied along (H close=) the electric field or perpendicular (H perpendicular to epsilon) to the electric field. The slope of the 1s?2p+1 line intensity on the electric field for epsilon > does not depend on the magnetic field, which is valid for epsilon BD too. Various effects determined in the PES measurements at epsilon=epsilon BD, such as a drastic narrowing of the 1s?2p+1 and CR lines, a shift of the CR line to higher magnetic fields, and disappearing of the lines to higher excited SI states, were clarified to be a result of screening of the SI Coulomb potential by free carriers. The FC screening at the BD reduces the potential fluctuation and its influence to the PES line shape of 1s?2p+1 and other excited states. It is shown that an increase in the FC concentration reduces the CCS, which can be assumed as the main factor along with the increase in the ionization coefficient for the SI breakdown in the electric field. The screening length rs of the SI Coulomb potential decreases with the increasing FC concentration, reducing the CCS; the latter seems to vanish completely at rs=aB (aB is the effective Bohr radius), when high screening results in vanishing of all the bound states of the Coulomb potential. Note that this limit is similar to the Mott transition. Many experimental facts and our calculation of the CCS support the suggested mechanism for the SI breakdown. The well-known IIM is valid for samples with SI concentrations N<<1013cm-3 and takes place at very high electric fields.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"We analyzed the role of serotonergic system in the protection of an organism of different animal species (mice, fish) from lethal doses of bacterial and chemical toxins. In the first series of experiments, peritonitis was induced in mice by i.p. administration of the pathogenic Escherichia coli strain, and the following i.m. administration of the serotonin-modulated anticonsolidation protein (SMAP) significantly increased their survival rate (75 vs. 30%, p < 0.05). In the second series, Western blot analysis showed that i.m. administration of SMAP to mice led after 5 h to a sharp upregulation of the 70 kDa heat shock protein (HSP70) in the liver. In the third series, carried out on the common carp Cyprinus carpio L., i.m. administration of SMAP prior to putting the fish into water containing a high concentration of a systemic insecticide Actara led to the survival of all individuals in the experimental group over the period of 5 days, whereas in the control (SMAP-free) group the survival rate over the same period was only 35% (p < 0.001). In the fourth series, administration of anti-SMAP polyclonal antibodies to C. carpio caused death of 75% of individuals that were put for 5 days into the water containing the sublethal Actara dose, whereas in the intact and control groups all individuals survived under the same conditions (p < 0.001).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
